oid,uid,Date,product_name,pid
148,3827,30-09-2015,hamburger meat,68
149,4699,8/2/2015,pasta,104
150,4747,8/6/2015,other vegetables,102
151,3028,9/6/2015,sausage,130
152,2851,16-03-2015,rolls/buns,122
153,4417,25-02-2015,grapes,65
154,3822,7/3/2015,root vegetables,123
155,2288,31-05-2015,coffee,34
156,2184,30-06-2015,popcorn,110
157,4554,27-08-2015,whole milk,164
158,3361,5/3/2015,tropical fruit,156
159,2999,17-04-2015,beef,8
160,2614,25-06-2015,whole milk,164
161,4064,5/6/2015,frankfurter,56
162,3567,4/10/2015,tropical fruit,156
163,2587,7/5/2015,canned beer,20
164,3783,17-06-2015,finished products,51
165,1923,14-02-2015,beverages,10
166,4835,19-02-2015,hamburger meat,68
167,1514,24-08-2015,whole milk,164
168,3154,22-06-2015,finished products,51
169,1313,25-12-2015,other vegetables,102
170,2794,18-07-2015,ham,67
171,2359,9/4/2015,other vegetables,102
172,2238,9/3/2015,curd,40
173,3795,17-01-2015,bottled beer,11
174,3724,26-11-2015,curd,40
175,1152,5/3/2015,whole milk,164
176,4559,16-03-2015,whole milk,164
177,3922,27-02-2015,dessert,44
178,1709,22-04-2015,sausage,130
179,2219,17-04-2015,other vegetables,102
180,2206,17-10-2015,ham,67
181,1752,6/4/2015,other vegetables,102
182,3942,10/11/2015,other vegetables,102
183,3296,17-08-2015,soda,138
184,2257,5/2/2015,herbs,70
185,4313,28-07-2015,frankfurter,56
186,2001,21-08-2015,rolls/buns,122
187,2449,8/7/2015,curd,40
188,4914,12/4/2015,frankfurter,56
189,2764,24-07-2015,other vegetables,102
190,4187,9/5/2015,dog food,48
191,1392,20-04-2015,specialty bar,143
192,3427,28-04-2015,curd,40
193,1411,20-02-2015,frankfurter,56
194,3390,14-11-2015,soda,138
195,4787,1/8/2015,beef,8
196,3310,17-01-2015,canned beer,20
197,1782,10/10/2015,pork,111
198,3375,26-04-2015,frankfurter,56
199,2760,7/1/2015,sausage,130
200,4249,13-09-2015,canned beer,20
201,2904,6/6/2015,specialty chocolate,145
202,4090,26-02-2015,curd,40
203,3060,5/7/2015,canned beer,20
204,3768,7/10/2015,whole milk,164
205,1232,21-01-2015,rolls/buns,122
206,1360,23-10-2015,pork,111
207,1107,1/10/2015,citrus fruit,30
208,2865,4/11/2015,pot plants,112
209,2958,14-06-2015,rolls/buns,122
210,2448,12/7/2015,butter,15
211,1222,24-09-2015,condensed milk,35
212,2943,20-06-2015,sausage,130
213,2270,11/8/2015,whole milk,164
214,3812,21-07-2015,sausage,130
215,1482,22-11-2015,beverages,10
216,4720,22-02-2015,beverages,10
217,1344,4/9/2015,bottled water,12
218,2397,4/10/2015,newspapers,95
219,4182,12/5/2015,cleaner,31
220,4487,10/7/2015,sausage,130
221,3467,24-12-2015,newspapers,95
222,2443,15-11-2015,sausage,130
223,2749,27-01-2015,misc. beverages,92
224,4389,13-04-2015,white wine,163
225,1674,4/12/2015,sausage,130
226,4262,16-10-2015,meat,90
227,2082,7/4/2015,frankfurter,56
228,4494,6/1/2015,ice cream,74
229,2460,28-09-2015,canned beer,20
230,4509,29-11-2015,tropical fruit,156
231,2267,3/7/2015,meat,90
232,4891,5/9/2015,whole milk,164
233,3962,20-09-2015,sausage,130
234,4964,18-07-2015,frankfurter,56
235,2914,30-11-2015,meat,90
236,2808,5/5/2015,root vegetables,123
237,1085,15-08-2015,root vegetables,123
238,3808,18-08-2015,whole milk,164
239,4149,7/1/2015,citrus fruit,30
240,2331,5/6/2015,citrus fruit,30
241,4475,3/4/2015,other vegetables,102
242,2761,25-04-2015,citrus fruit,30
243,2620,14-12-2015,sausage,130
244,3206,13-10-2015,frankfurter,56
245,1226,13-04-2015,hard cheese,69
246,1395,7/3/2015,cream cheese ,39
247,2465,7/6/2015,turkey,157
248,3572,9/7/2015,pork,111
249,4387,8/5/2015,whole milk,164
250,1555,27-03-2015,rolls/buns,122
251,1181,16-11-2015,sausage,130
252,2814,11/5/2015,ice cream,74
253,2794,16-09-2015,liquor,82
254,2912,28-01-2015,pip fruit,109
255,4667,12/1/2015,root vegetables,123
256,2235,25-10-2015,soda,138
257,2353,2/5/2015,soda,138
258,3449,8/3/2015,sausage,130
259,1058,10/11/2015,root vegetables,123
260,1027,17-05-2015,pork,111
261,3302,22-05-2015,pork,111
262,2229,30-05-2015,chocolate,28
263,2188,15-08-2015,fruit/vegetable juice,64
264,1547,18-04-2015,pickled vegetables,108
265,1649,30-06-2015,bottled water,12
266,3254,10/9/2015,frankfurter,56
267,2818,7/11/2015,tropical fruit,156
268,2703,8/5/2015,canned beer,20
269,3332,31-01-2015,root vegetables,123
270,2473,1/7/2015,meat,90
271,2810,30-12-2015,frankfurter,56
272,1033,22-04-2015,tropical fruit,156
273,4222,27-05-2015,tropical fruit,156
274,3679,21-09-2015,citrus fruit,30
275,2212,27-08-2015,hamburger meat,68
276,1507,22-06-2015,chicken,27
277,2870,21-01-2015,chicken,27
278,3429,26-04-2015,frankfurter,56
279,4148,9/4/2015,canned beer,20
280,2970,30-12-2015,turkey,157
281,2013,30-08-2015,packaged fruit/vegetables,103
282,3967,30-05-2015,pasta,104
283,2885,15-05-2015,citrus fruit,30
284,3935,2/7/2015,sausage,130
285,3283,1/5/2015,whole milk,164
286,3268,6/11/2015,canned beer,20
287,3677,30-04-2015,citrus fruit,30
288,3495,27-06-2015,liquor (appetizer),83
289,1410,4/10/2015,citrus fruit,30
290,2440,6/6/2015,sausage,130
291,4088,13-01-2015,chicken,27
292,2469,23-09-2015,hamburger meat,68
293,4229,6/3/2015,sausage,130
294,2728,2/8/2015,beef,8
295,4694,25-01-2015,citrus fruit,30
296,2836,29-12-2015,UHT-milk,1
297,1311,12/2/2015,candy,19
298,1760,23-01-2015,newspapers,95
299,3656,2/3/2015,beef,8
300,3720,28-05-2015,sausage,130
301,2996,26-09-2015,frankfurter,56
302,1949,22-07-2015,canned beer,20
303,4498,11/2/2015,bottled beer,11
304,2447,28-12-2015,onions,99
305,1952,23-03-2015,tropical fruit,156
306,4099,27-01-2015,bottled water,12
307,1804,12/3/2015,beef,8
308,1510,16-05-2015,sausage,130
309,2879,18-04-2015,hair spray,66
310,4899,12/3/2015,chicken,27
311,4326,29-09-2015,pork,111
312,1670,17-05-2015,ice cream,74
313,1117,24-05-2015,meat,90
314,1346,3/4/2015,other vegetables,102
315,1178,15-11-2015,bottled water,12
316,1649,25-06-2015,tropical fruit,156
317,4651,21-06-2015,photo/film,107
318,4243,2/4/2015,sausage,130
319,4429,21-07-2015,grapes,65
320,4645,25-07-2015,domestic eggs,49
321,4019,24-07-2015,rolls/buns,122
322,4459,26-04-2015,tropical fruit,156
323,3006,27-12-2015,chicken,27
324,1834,17-09-2015,frankfurter,56
325,3236,4/7/2015,berries,9
326,1765,11/3/2015,margarine,88
327,3855,9/3/2015,tropical fruit,156
328,4392,28-11-2015,ham,67
329,3330,26-07-2015,hamburger meat,68
330,1723,2/9/2015,yogurt,165
331,4110,30-03-2015,soda,138
332,2600,28-01-2015,yogurt,165
333,2946,7/10/2015,soda,138
334,2426,8/9/2015,bottled water,12
335,4170,3/5/2015,sausage,130
336,1109,6/4/2015,citrus fruit,30
337,3429,4/1/2015,shopping bags,133
338,2055,4/2/2015,newspapers,95
339,2480,20-09-2015,frankfurter,56
340,2441,30-05-2015,sausage,130
341,1054,4/10/2015,frankfurter,56
342,4818,11/1/2015,salt,127
343,3379,21-01-2015,oil,98
344,3939,10/2/2015,curd,40
345,1367,5/8/2015,other vegetables,102
346,1043,10/1/2015,citrus fruit,30
347,2231,17-10-2015,frankfurter,56
348,3235,28-12-2015,root vegetables,123
349,4554,16-07-2015,tropical fruit,156
350,3245,24-01-2015,beef,8
351,2996,19-05-2015,berries,9
352,2507,5/1/2015,canned beer,20
353,4186,25-10-2015,whipped/sour cream,160
354,3929,28-04-2015,root vegetables,123
355,3760,22-11-2015,whole milk,164
356,4928,18-08-2015,beef,8
357,4217,18-12-2015,frozen vegetables,63
358,1174,11/2/2015,rolls/buns,122
359,4103,19-06-2015,whole milk,164
360,4408,13-03-2015,whole milk,164
361,2588,28-12-2015,citrus fruit,30
362,2598,11/11/2015,pastry,105
363,1518,11/12/2015,frankfurter,56
364,2702,8/4/2015,tropical fruit,156
365,1001,20-01-2015,frankfurter,56
366,2270,30-09-2015,berries,9
367,2838,10/11/2015,rolls/buns,122
368,1683,26-05-2015,root vegetables,123
369,4040,3/4/2015,yogurt,165
370,3897,23-08-2015,other vegetables,102
371,2200,11/3/2015,berries,9
372,4073,29-01-2015,berries,9
373,3700,19-04-2015,other vegetables,102
374,3973,10/6/2015,rolls/buns,122
375,2715,6/7/2015,ham,67
376,3967,23-11-2015,whole milk,164
377,4002,3/9/2015,tropical fruit,156
378,2962,1/3/2015,bottled water,12
379,4340,25-12-2015,butter milk,16
380,2092,6/11/2015,newspapers,95
381,3143,24-05-2015,coffee,34
382,2209,3/10/2015,bottled beer,11
383,2816,22-08-2015,onions,99
384,2659,1/6/2015,hamburger meat,68
385,1588,13-10-2015,sausage,130
386,1144,15-10-2015,hard cheese,69
387,2166,10/12/2015,sausage,130
388,3300,6/10/2015,hamburger meat,68
389,3944,3/1/2015,onions,99
390,4979,24-04-2015,coffee,34
391,2630,21-01-2015,shopping bags,133
392,4240,29-04-2015,yogurt,165
393,2357,8/7/2015,soda,138
394,1743,18-04-2015,sliced cheese,135
395,2331,15-02-2015,sausage,130
396,1643,28-04-2015,yogurt,165
397,1291,20-03-2015,domestic eggs,49
398,3675,4/7/2015,whole milk,164
399,4134,6/11/2015,meat,90
400,1363,21-06-2015,dish cleaner,46
401,4212,1/5/2015,other vegetables,102
402,1500,21-03-2015,whole milk,164
403,2622,1/10/2015,other vegetables,102
404,3543,18-03-2015,tropical fruit,156
405,2525,24-05-2015,baking powder,6
406,1264,12/10/2015,specialty bar,143
407,3601,6/7/2015,ice cream,74
408,1771,23-03-2015,frankfurter,56
409,4694,6/2/2015,canned beer,20
410,1122,21-12-2015,bottled water,12
411,3507,12/8/2015,other vegetables,102
412,4524,26-04-2015,citrus fruit,30
413,3612,27-09-2015,sausage,130
414,3262,11/6/2015,domestic eggs,49
415,1897,25-01-2015,pork,111
416,1656,30-10-2015,specialty cheese,144
417,3953,10/1/2015,pork,111
418,1488,21-06-2015,beef,8
419,1652,17-03-2015,other vegetables,102
420,4953,16-09-2015,chicken,27
421,3445,30-04-2015,soda,138
422,3180,15-03-2015,whole milk,164
423,4934,6/9/2015,rolls/buns,122
424,2980,27-04-2015,bottled beer,11
425,2763,13-02-2015,root vegetables,123
426,4819,4/3/2015,pastry,105
427,3169,2/7/2015,berries,9
428,1850,11/3/2015,citrus fruit,30
429,4285,29-12-2015,whole milk,164
430,4366,13-08-2015,soda,138
431,2253,16-06-2015,bottled water,12
432,3398,11/3/2015,tropical fruit,156
433,2215,22-07-2015,salty snack,128
434,3737,3/3/2015,bottled water,12
435,2649,28-11-2015,chocolate,28
436,3203,7/8/2015,citrus fruit,30
437,4261,16-02-2015,bottled water,12
438,2435,17-07-2015,onions,99
439,2046,21-08-2015,dessert,44
440,4267,11/2/2015,beef,8
441,1086,28-12-2015,rolls/buns,122
442,1992,4/1/2015,beef,8
443,3622,26-07-2015,soda,138
444,4700,27-06-2015,coffee,34
445,2272,16-05-2015,rolls/buns,122
446,1663,19-05-2015,pork,111
447,2519,3/6/2015,soda,138
448,2639,30-10-2015,sausage,130
449,1466,19-04-2015,beef,8
450,4122,23-10-2015,whole milk,164
451,3598,15-04-2015,pork,111
452,3097,10/8/2015,berries,9
453,1873,19-09-2015,sausage,130
454,1537,1/2/2015,bottled water,12
455,3960,25-03-2015,tropical fruit,156
456,1136,15-06-2015,herbs,70
457,2453,21-12-2015,yogurt,165
458,1746,15-02-2015,Instant food products,0
459,3572,9/6/2015,specialty chocolate,145
460,3246,24-06-2015,coffee,34
461,3207,26-11-2015,bottled beer,11
462,1042,12/2/2015,beef,8
463,1176,30-03-2015,whole milk,164
464,3054,23-02-2015,frankfurter,56
465,4486,2/12/2015,frankfurter,56
466,1580,5/12/2015,other vegetables,102
467,1623,2/11/2015,frankfurter,56
468,4169,24-11-2015,whole milk,164
469,2254,24-01-2015,frankfurter,56
470,4095,1/11/2015,other vegetables,102
471,1264,17-11-2015,bottled water,12
472,3375,6/1/2015,pork,111
473,3242,23-05-2015,bottled water,12
474,2227,7/6/2015,other vegetables,102
475,3847,3/12/2015,hamburger meat,68
476,3897,31-05-2015,hamburger meat,68
477,1799,27-09-2015,shopping bags,133
478,2920,26-04-2015,whole milk,164
479,3713,31-01-2015,ice cream,74
480,4230,5/11/2015,pastry,105
481,1455,18-03-2015,ham,67
482,3687,18-03-2015,frankfurter,56
483,3869,1/8/2015,sausage,130
484,2988,14-10-2015,bottled beer,11
485,4242,30-03-2015,bottled water,12
486,4118,24-12-2015,meat,90
487,4996,24-10-2015,dessert,44
488,4489,4/3/2015,other vegetables,102
489,1199,9/11/2015,beverages,10
490,4108,12/5/2015,ham,67
491,3484,5/6/2015,specialty bar,143
492,1239,31-08-2015,brown bread,14
493,4839,19-12-2015,whole milk,164
494,4748,7/5/2015,rolls/buns,122
495,4426,6/6/2015,bottled beer,11
496,3571,11/12/2015,pet care,106
497,2852,8/6/2015,citrus fruit,30
498,3638,26-05-2015,pork,111
499,3635,10/3/2015,other vegetables,102
500,2723,7/5/2015,white wine,163
501,3495,11/3/2015,whole milk,164
502,2813,16-11-2015,pip fruit,109
503,2799,2/9/2015,sugar,150
504,4723,22-05-2015,tropical fruit,156
505,3313,8/4/2015,root vegetables,123
506,4748,15-12-2015,soda,138
507,2991,16-02-2015,whole milk,164
508,1483,1/4/2015,tropical fruit,156
509,3950,1/10/2015,white bread,162
510,1634,16-01-2015,brown bread,14
511,2694,21-11-2015,tropical fruit,156
512,2707,18-10-2015,domestic eggs,49
513,2813,16-07-2015,coffee,34
514,2276,11/1/2015,soda,138
515,4726,6/2/2015,whole milk,164
516,4353,25-05-2015,bottled beer,11
517,4017,13-08-2015,pork,111
518,1422,21-08-2015,other vegetables,102
519,2714,15-03-2015,yogurt,165
520,2769,21-07-2015,sparkling wine,142
521,4166,30-04-2015,bottled water,12
522,3614,2/3/2015,citrus fruit,30
523,4361,5/9/2015,hamburger meat,68
524,1922,22-09-2015,packaged fruit/vegetables,103
525,4728,6/9/2015,other vegetables,102
526,3646,8/8/2015,soda,138
527,1155,10/8/2015,whole milk,164
528,2119,11/6/2015,herbs,70
529,1602,29-08-2015,citrus fruit,30
530,1074,24-06-2015,misc. beverages,92
531,2256,11/4/2015,female sanitary products,50
532,1348,17-09-2015,soda,138
533,3806,28-08-2015,tropical fruit,156
534,1711,6/6/2015,soda,138
535,3959,12/4/2015,white bread,162
536,1590,15-08-2015,coffee,34
537,1962,8/6/2015,tropical fruit,156
538,1766,21-01-2015,pork,111
539,2551,21-10-2015,citrus fruit,30
540,2294,23-09-2015,frankfurter,56
541,4531,29-05-2015,frankfurter,56
542,2957,12/4/2015,frankfurter,56
543,4415,27-01-2015,other vegetables,102
544,1476,26-08-2015,yogurt,165
545,3978,23-07-2015,sausage,130
546,2062,22-09-2015,whole milk,164
547,3252,28-06-2015,pip fruit,109
548,3922,24-06-2015,whole milk,164
549,1491,17-10-2015,root vegetables,123
550,3526,26-08-2015,onions,99
551,4060,11/12/2015,specialty chocolate,145
552,1067,8/4/2015,hamburger meat,68
553,2840,27-01-2015,photo/film,107
554,4484,27-11-2015,rolls/buns,122
555,2353,7/2/2015,canned beer,20
556,3130,18-02-2015,canned beer,20
557,4273,14-06-2015,other vegetables,102
558,4565,30-12-2015,canned beer,20
559,2504,14-08-2015,curd,40
560,4127,23-10-2015,butter,15
561,2690,1/4/2015,other vegetables,102
562,4129,22-09-2015,whole milk,164
563,4511,29-06-2015,beef,8
564,1602,4/8/2015,sausage,130
565,4369,1/2/2015,soda,138
566,1302,29-09-2015,fruit/vegetable juice,64
567,3326,30-04-2015,rolls/buns,122
568,2066,21-05-2015,pip fruit,109
569,3483,15-01-2015,frozen vegetables,63
570,2840,12/2/2015,beverages,10
571,1807,18-05-2015,hamburger meat,68
572,2067,12/8/2015,root vegetables,123
573,3783,17-02-2015,canned beer,20
574,2884,4/1/2015,frozen vegetables,63
575,2908,15-03-2015,canned beer,20
576,1330,10/7/2015,newspapers,95
577,2293,8/5/2015,rolls/buns,122
578,3718,20-05-2015,hamburger meat,68
579,4338,25-01-2015,pip fruit,109
580,3486,8/11/2015,canned beer,20
581,3635,4/9/2015,grapes,65
582,2857,18-02-2015,root vegetables,123
583,3684,13-08-2015,citrus fruit,30
584,3120,20-10-2015,cling film/bags,32
585,3872,19-03-2015,frankfurter,56
586,2777,7/4/2015,whole milk,164
587,2702,27-05-2015,pork,111
588,4796,29-06-2015,chicken,27
589,1564,23-10-2015,sausage,130
590,2740,2/7/2015,specialty bar,143
591,1833,13-04-2015,whipped/sour cream,160
592,1757,23-12-2015,root vegetables,123
593,2975,24-10-2015,rolls/buns,122
594,4032,10/8/2015,other vegetables,102
595,3979,16-09-2015,citrus fruit,30
596,3772,9/3/2015,whole milk,164
597,4523,28-10-2015,frankfurter,56
598,4004,19-04-2015,coffee,34
599,2936,8/6/2015,ham,67
600,2394,21-06-2015,canned beer,20
601,4616,16-08-2015,canned beer,20
602,2362,8/7/2015,canned beer,20
603,3593,3/11/2015,pip fruit,109
604,4389,27-08-2015,pork,111
605,3206,11/8/2015,soap,137
606,4601,4/1/2015,pip fruit,109
607,4382,13-11-2015,beef,8
608,2718,8/6/2015,sausage,130
609,4691,12/10/2015,frozen chicken,57
610,3735,28-11-2015,soda,138
611,3900,20-12-2015,tropical fruit,156
612,4959,30-06-2015,other vegetables,102
613,1815,30-08-2015,beef,8
614,2454,8/4/2015,meat,90
615,4778,15-01-2015,meat,90
616,2289,4/11/2015,bottled water,12
617,1734,13-07-2015,rolls/buns,122
618,4019,5/2/2015,pastry,105
619,4605,28-05-2015,pork,111
620,4864,14-11-2015,pip fruit,109
621,4205,22-02-2015,beef,8
622,1862,3/8/2015,beef,8
623,1846,19-07-2015,rolls/buns,122
624,2019,28-05-2015,citrus fruit,30
625,2042,19-11-2015,meat,90
626,1768,26-05-2015,beverages,10
627,3847,26-03-2015,beef,8
628,3557,20-07-2015,ham,67
629,3975,27-02-2015,hamburger meat,68
630,4198,18-03-2015,beef,8
631,2580,4/9/2015,beef,8
632,3474,25-08-2015,root vegetables,123
633,1678,14-11-2015,citrus fruit,30
634,4254,14-08-2015,yogurt,165
635,4704,21-08-2015,tropical fruit,156
636,3343,10/5/2015,frankfurter,56
637,3812,24-06-2015,beef,8
638,3093,13-03-2015,shopping bags,133
639,2170,18-06-2015,canned beer,20
640,4867,29-10-2015,rolls/buns,122
641,3899,23-03-2015,other vegetables,102
642,2941,3/10/2015,hamburger meat,68
643,1958,3/7/2015,hamburger meat,68
644,2760,8/8/2015,frankfurter,56
645,4413,3/8/2015,bottled beer,11
646,1737,15-05-2015,tropical fruit,156
647,4202,18-02-2015,soda,138
648,1065,13-11-2015,frankfurter,56
649,3819,28-06-2015,chicken,27
650,2854,8/2/2015,coffee,34
651,4387,16-09-2015,whole milk,164
652,4530,12/4/2015,margarine,88
653,4191,3/11/2015,tropical fruit,156
654,3102,4/12/2015,meat,90
655,1946,25-01-2015,cream cheese ,39
656,2156,15-05-2015,newspapers,95
657,1444,16-12-2015,rolls/buns,122
658,1699,14-05-2015,citrus fruit,30
659,4954,4/5/2015,whole milk,164
660,2207,8/4/2015,frankfurter,56
661,4826,28-01-2015,ham,67
662,2374,8/6/2015,frankfurter,56
663,1604,18-08-2015,sausage,130
664,4437,29-11-2015,domestic eggs,49
665,2319,10/5/2015,whole milk,164
666,3018,27-06-2015,rolls/buns,122
667,1195,28-09-2015,whole milk,164
668,1768,4/9/2015,sausage,130
669,3017,28-09-2015,curd,40
670,3384,29-11-2015,bottled water,12
671,1918,30-01-2015,beef,8
672,2524,17-10-2015,frankfurter,56
673,2798,17-06-2015,chicken,27
674,2096,25-01-2015,sausage,130
675,1489,13-03-2015,pork,111
676,1431,20-07-2015,yogurt,165
677,2747,5/7/2015,whole milk,164
678,3054,22-03-2015,frankfurter,56
679,2691,9/10/2015,beef,8
680,1752,19-04-2015,pip fruit,109
681,3027,15-09-2015,sausage,130
682,4452,17-06-2015,pastry,105
683,4129,13-08-2015,chicken,27
684,3523,9/11/2015,root vegetables,123
685,2128,11/2/2015,whole milk,164
686,4867,3/2/2015,detergent,45
687,4762,30-10-2015,rolls/buns,122
688,1632,29-05-2015,house keeping products,72
689,4018,17-11-2015,yogurt,165
690,1722,13-07-2015,tropical fruit,156
691,1438,19-10-2015,tropical fruit,156
692,3958,27-10-2015,curd,40
693,3292,13-09-2015,beef,8
694,2861,23-02-2015,whole milk,164
695,1757,24-02-2015,pork,111
696,1509,30-12-2015,other vegetables,102
697,2364,11/5/2015,rolls/buns,122
698,3084,26-10-2015,frankfurter,56
699,1850,17-02-2015,yogurt,165
700,1949,17-03-2015,whole milk,164
701,4740,2/10/2015,bottled water,12
702,1072,23-10-2015,frankfurter,56
703,4196,9/7/2015,rolls/buns,122
704,4814,13-09-2015,whole milk,164
705,1514,28-02-2015,rolls/buns,122
706,4584,25-10-2015,chicken,27
707,2751,3/2/2015,tropical fruit,156
708,4155,24-09-2015,sausage,130
709,4670,11/10/2015,sausage,130
710,4566,27-07-2015,frankfurter,56
711,2371,30-08-2015,UHT-milk,1
712,3442,14-11-2015,rolls/buns,122
713,3090,27-09-2015,canned beer,20
714,1457,9/1/2015,yogurt,165
715,4952,8/4/2015,whipped/sour cream,160
716,3165,11/1/2015,rolls/buns,122
717,2608,19-09-2015,rolls/buns,122
718,2040,7/10/2015,beverages,10
719,1327,9/8/2015,rolls/buns,122
720,3363,7/1/2015,rolls/buns,122
721,1731,9/9/2015,bottled beer,11
722,2760,2/8/2015,citrus fruit,30
723,3120,14-01-2015,bottled water,12
724,1332,30-04-2015,pastry,105
725,4530,12/9/2015,domestic eggs,49
